1,0
29,28
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
28,0
29,0
28,1
29,1
29,2
28,2
4,1
4,2
4,3
0,0
0,1
0,2
0,3
0,4
1,2
1,3
1,4
1,5
0,5
2,6
4,6
3,6
1,6
0,6
0,7
0,8
0,9
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,29
0,28
0,27
0,26
0,25
0,24
0,23
0,22
0,21
1,29
2,29
3,29
4,29
5,29
5,29
6,29
7,29
8,29
3,25
3,26
3,27
4,27
5,27
6,27
7,27
5,24
4,23
4,22
4,21
4,20
4,19
4,18
4,17
5,19
6,19
7,19
9,19
8,19
10,19
6,1
6,2
6,3
6,4
6,5
6,6
7,6
8,6
9,6
10,6
10,6
11,6
11,5
11,4
11,3
11,2
10,2
8,2
9,2
8,3
8,4
8,4
9,4
14,1
14,2
14,3
14,4
14,4
14,5
14,6
14,7
14,7
14,8
15,6
16,6
17,6
17,6
18,6
18,6
19,6
17,3
18,3
19,3
19,2
19,1
22,4
22,3
23,3
24,3
25,3
26,3
26,3
27,3
28,3
29,3
28,4
28,4
28,6
28,5
28,7
28,8
28,9
28,10
28,11
28,12
29,14
29,15
29,16
29,16
29,18
29,17
29,27
29,26
29,25
29,24
29,23
29,22
29,21
29,20
28,20
27,20
27,20
26,20
25,20
24,20
28,21
28,22
28,23
28,24
28,25
27,25
26,25
25,25
24,25
23,25
22,25
21,25
19,25
20,25
19,26
23,21
23,20
25,23
26,23
24,23
23,23
22,23
21,23
20,23
19,23
18,23
17,23
16,23
16,24
16,25
16,26
16,27
16,27
16,28
17,28
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
25,28
26,28
27,28
27,29
29,29
28,29
4,16
4,15
4,13
4,14
4,12
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
12,11
12,12
12,13
12,13
12,14
11,14
10,14
9,14
9,14
8,14
7,14
7,15
7,15
8,15
7,16
8,16
10,16
11,16
12,16
12,16
13,16
14,16
15,16
15,16
15,17
15,17
15,18
15,19
15,20
14,20
14,20
13,20
13,20
12,20
12,21
11,21
9,21
10,21
8,21
7,21
6,21
5,21
5,22
6,22
7,22
7,22
8,22
9,22
15,8
16,8
16,9
16,9
16,10
16,11
17,11
17,11
17,12
17,13
17,13
17,14
17,15
18,15
18,16
18,17
18,17
18,18
18,19
18,20
18,21
6,25
7,25
8,25
9,26
10,26
11,26
11,25
12,25
12,24
12,23
10,24
8,23
8,24
9,24
22,12
22,11
21,12
21,11
20,12
20,11
20,10
20,9
20,8
21,8
22,8
23,8
23,8
25,8
24,8
25,9
25,10
25,11
25,13
25,14
25,15
25,15
25,16
25,17
25,18
26,18
27,18
27,17
27,16
18,18
19,19
20,19
21,18
20,18
21,17
21,16
9,8
9,9
9,10
8,10
7,10
8,9
13,11
13,10
14,11
3,17
2,17
2,16
2,15
2,14
